S#,SKU,Full Name,Requested Quantity New,Total Revenue Net ,Total Revenue Gross SAR,JDA 122 Price 13/07/2023
62,10341425,Al Arabi Pure Vegetable Oil 2*1500+500ml,30.00,"1,020.65","1,056.60  SAR",46
85,10348210,Coca Cola Light Soft Drink 12*355ml,30.00,862.50,862.50  SAR,33.95
23,10348220,Coca Cola Zero Soft Drink 12*355ml,56.00,"1,589.20","1,589.20  SAR",33.95
31,10359635,Persil Detergent Powder Automatic 6.8kg,29.00,"1,413.55","1,413.55  SAR",77.95
66,10370515,"Analogue Cream ""Milk Fat replaced by Vegetable Oil"" 160 g",618,"1,827.00",,4.5
50,10377745,Ariel Automatic Power Gel Laundry Detergent Original 2.8L,30.00,"1,160.40","1,160.40  SAR",49.5
94,10391085,Spreadable Cream Cheese (Special Price) 2*400 g,184.00,"6,134.65",,49.75
45,10394345,Fine Fluffy Facial Tissue 10+4packs,40.00,"1,188.00","1,188.00  SAR",34.5
56,10394365,Nawras Facial Tissue 8+2packs,50.00,"1,058.70","1,101.70  SAR",25.95
70,10416825,Plus Lemon Dishwashing Liquid Soap with alternative power to bleach 1 L,606,"5,538.50",,21.5
39,11057455,Eggs 30 pc,541.00,"10,316.25",,25.95
89,11081692,Ritz Original Crackers 16*41g,53.00,842.65,842.65  SAR,20
2,11084645,Al Safwa Eggs 15pcs,387.00,"5,398.65","5,398.65  SAR",14.95
32,11099415,Almarai Full Fat Fresh Laban with added Vitamins 180ml,145.00,290.00,,2
78,11099425,Almarai Low Fat Fresh Laban with added Vitamins 180ml,82.00,158.00,,2
8,11573260,Store Card $10 (USA),674.00,"25,275.00",,37.5
41,11573280,Store Card $50 (USA)  ,778,"145,875.00",,187.5
24,60121255,Puck Cooking Cream 1L,87.00,"1,560.01","1,560.01  SAR",28.95
93,60139260,Berain Drinking Water 40*330ml,44.00,820.45,820.45  SAR,21
76,60150445,Nutella Hazelnut Spread with Cocoa 400g,51.00,941.80,941.80  SAR,21.5
19,60190225,Fresh Chicken Breast Fillet 450 g,730.00,"14,732.75",,22.95
75,60190325,Fresh Chicken Breast Fillet 900 g,170.00,"6,976.85",,44.95
16,60190435,Radwa Frozen Tender Chicken Breast 450g,114.00,"1,783.50","1,783.50  SAR",21.75
37,60262125,L'usine Sliced Milk Bread 600g,127.00,734.50,,6
78,60297155,Salmon Fillets 450 g,170.00,"6,776.35",,139.95
57,60344210,Coca Cola Soft Drink 12*150ml,48.00,"1,055.70","1,055.70  SAR",25.5
83,60371951,Pepsi Soft Drink 6*250ml,67.00,898.65,898.65  SAR,14.95
82,60371961,Pepsi Diet Carbonated Soft Drink 6*250ml,67.00,905.75,905.75  SAR,14.95
29,60375365,Chilled Chicken Breast Fillet 450 g,616.00,"11,817.00",,22.95
26,60378975,Puck Cooking Cream 200ml,159.00,556.40,,6.5
78,60378985,Full Fat Organic Milk 1 L,572,"4,804.65",,13.5
26,60379005,Full Fat Organic Milk 200 ml,990,"2,084.60",,3.5
56,60379025,Organic Chocolate Milk 200 ml,673,"1,610.40",,4
83,60383771,Original Cheddar Cheese Spread 2*870 g,165.00,"6,547.70",,66.5
55,60390625,L'usine Sliced Bran Bread 615g,99.00,569.00,,6
42,60415760,Nestle Pure Life Drinking Water 40*330ml,71.00,"1,212.45","1,212.45  SAR",23.95
67,60421835,Cottonelle Extra Dry Toilet Tissue 16+4 pc,218.00,"7,397.35",,44.5
81,60499755,Zamzam Water 5L  ,561,44.00,,5.5
