Product Name,Product Details,Price,Actual Price,Discount Percentage
Tropicana Fruitz Mango 300ml X 6,,17.95SAR,,
Nada Pineapple Juice 200ml,,2.00SAR,,
Nadec 100% Apple Juice 200ml,,2.00SAR,,
Nadec Mixed Fruit Nectar 200ml,,2.00SAR,,
Alrabie Juice Grape 200ml ×18,,34.50SAR,,
Nadec No Added Sugar Mix Fruit Nectar With 8 Vitamins 1.5L,,8.95SAR,,
Danao 5 Vitamins Juice Milk 180ml,,2.00SAR,,
Almarai No Added Sugar Mixed Fruit Lemon Juice 300ml,,3.00SAR,,
Rani Float Mango Can No Added Sugar 100% Fruit Juice 240ml,,2.00SAR,,
Almarai No Added Sugar Orange Juice With Pulp 300ml,,3.00SAR,,
Caesar Juice Lemon Mint And Fruit Mix No Sugar 250ml,,3.00SAR,,
Nada pomegranate juice 200 ml,,2.00SAR,,
Almarai No Added Sugar Mixed Fruit Mango Juice 300ml,,3.00SAR,,
Nadec Pineapple With Mix Fruit Nectar 1.5L,,8.95SAR,,
Carrefour 100% Orange Juice 200ml,,1.75SAR,,
Nadec No Added Sugar Orange & Carrot With Mix Fruit Nectar 1.5L,,8.95SAR,,
Rani 100% 3 Jewels 240ml,,2.00SAR,,
Carrefour 100% Mixed Fruit Juice 200ml,,1.75SAR,,
Rani Float Orange Can No Added Sugar 100% Fruit Juice 240ml,,2.00SAR,,
Nadec Orange Carrots & Mix Fruits Nectar 200ml,,2.00SAR,,
Nada Beetroot & Raspberry Juice 1.35l,,14.50SAR,,
Nada Beet Root & Black Currant Juice 1.35l,,14.50SAR,,
Carrefour 100% Apple Juice 200ml,,1.75SAR,,
Nada raspberry juice 200 ml,,2.00SAR,,
Almarai Mixed Fruit And Pomegranate Juice 300ml,,3.00SAR,,
Rani Three Jewels No Added Sugar 180ml X 6,,10.50SAR,,
Danao Orange & Mango Drink 180ml,,2.00SAR,,
Nada Apple Juice 200ml,,2.00SAR,,
Al Marai Super Grapes And Berries Juice 250ml,,5.50SAR,,
Rani Mango Fruit Juice Non-Returnable Bottle 200ml,,1.95SAR,,
Remedy Organic Kombucha Tea With Passionfruit Flavor 330ml,,25.50SAR,,
Nada Fresh Juice Tropical 1.34l,,8.50SAR,,
Almarai No Sugar Added Orange Carrot Juice 300ml,,3.00SAR,,
Bel Normande Sparkling White Grape Juice 750ml,,29.95SAR,,
Nada strawberry juice 200 ml,,2.00SAR,,
Lussory Premium Red Merlot 750ml,,55.95SAR,,
Alrabie Juicegrape 200ml,,2.00SAR,,
Florida's Natural Pineapple Juice 1.6L,,15.95SAR,SAR19.95,20% OFF
Caesar red apple 250 ml,,3.00SAR,,
Carrefour 100% Apple Orange Juice 200ml,,1.75SAR,,
Caesar 0%sugar guava&fruit 250ml,,3.00SAR,,
Remedy Organic Kombucha Tea With Peach Flavor 330ml,,25.50SAR,,
Almarai No Added Sugar Pineapple Orange And Grape Juice 300ml,,3.00SAR,,
Caesar 0%sugar fruit mix 250ml,,3.00SAR,,
Nada Orange Juice 200ml,,2.00SAR,,
Nada Pineapple Juice 300ml,,3.00SAR,,
RAUCH SPKL JUICE APPLE 250ML,,5.50SAR,,
KDD Orange Juice 1L x4,,28.95SAR,,
Alrabie Cranberry & Pomegr 330ml,,2.95SAR,,
Mixa 5G Sparkling Drink 250ml,,2.25SAR,,
Nada Raspberry Juice 300ml,,3.00SAR,,
Rauch Sparkling Peach Juice Bottle 250ml,,5.50SAR,,
Lussory Premium Rose Merlot 750ml,,55.95SAR,,
Nada pomegranate juice 300 ml,,3.00SAR,,
Marai Refresh Orange And Mango Drink 400ml,,3.00SAR,,
Fresh mixed fruits slices cup,,11.50SAR,,
Bel Normande Sparkling Apple Juice 750ml,,29.95SAR,,
Rauch Fruit Cocktail Can 355ml,,6.25SAR,,
REMEDY KOMBUCHA GINGER LEMON 330ML,,25.50SAR,,
KDD Cocktail Drink 1L x4,,28.95SAR,,
Rani 100% Float Pineapple 180ml X6,,10.50SAR,,
KDD Juice Guava Nectar 1L x Pack of 4,,28.95SAR,,
Rauch Redgrape Sparkling Juice 250ml,,6.00SAR,,
Nada Apple Juice 300ml,,3.00SAR,,
Nadec Pomegranate & Mix Fruit Nectar 1.5L,,8.95SAR,,
Celsius Orange 355ml X12,,118.95SAR,,
Nadec Strawberry & Mixed Fruit Nectar 300ml,,3.00SAR,,
S&W Pineapple Juice 1.36L,,10.95SAR,,
Nadec 100% Orange Juice 300ml,,3.00SAR,,
Rani 100% 180ml,,1.75SAR,,
Marai Refresh Mix Citrus Drink 400ml,,3.00SAR,,
"Celsius Sparkling Peach Vibe Fitness Drink, Zero Sugar, 355ml. Slim Can (Pack Of 12)",,118.95SAR,,
Celsius Fuji Apple Pear 355ml X12,,118.95SAR,,
Vimto Fruit Flavoured Drink 250ml Pack of 24,,47.90SAR,,
Vimto Sparkling Soft Drink 330ml Pack of 6,,18.95SAR,,
Carrefour 100% Apple Stra  Juice 200ml,,1.75SAR,,
Alsafi Orange Juice 1L (Organic),,16.50SAR,,
Celsius Peach Mango 355ml X12,,118.95SAR,,
Nadec Mango & Mixed Fruit Nectar 300ml,,3.00SAR,,
Almarai Refresh Drink Fruit Cocktail 400ml,,3.00SAR,,
Nada Strawberry Juice 300ml,,3.00SAR,,
Sunquick Berry Mix 330ml× 12,,142.95SAR,,
Nada Nectar With Pulp 300ml,,3.00SAR,,
Carrefour Bio Coconut Water Crt 1l,,17.50SAR,,
RANI ORANGE NRB 200ML,,1.95SAR,,
Lussory Premium Tempranillo 750ml,,55.95SAR,,
Vimto Blueberry Pet 250ml× 24,,47.90SAR,,
Carrefour Tomato Juice 1L,,10.75SAR,,
Nadec Mixed Fruit Nectar 300ml,,3.00SAR,,
Alsafi Apple Juice 1L (Organic),,16.50SAR,,
Nada Orange Juice 300ml,,3.15SAR,,
Grante Pomegranate +grape + Apple Juice 100 % 250ml,,9.75SAR,,
Grante Pomegranate Juice 100 % 750ml,,22.95SAR,,
Pran Frooto Mango Juice Pet 250ml,,1.95SAR,,
Alrabie - Apricot Premium Nectar 1L,,8.75SAR,,
Alsafi Organic Pomegranate Grapes And Black Carrot Juice Antioxidant 1L,,16.50SAR,,
Rani Apple Fruit Drink 200ml,,1.95SAR,,
Rani Float Mango No Added Sugar 180ml x 6,,10.50SAR,,
Lussory Premium White Airen 750ml,,55.95SAR,,
Almarai - Peach Apricot Drink 1.4L,,8.95SAR,,
Natureland Apple Mango Juice 200ml,,13.95SAR,,
I Am Juicelychee 330ml,,7.75SAR,,
Lussory Premium Chardonnay 750ml,,55.95SAR,,
Freshly Juice Pineapple 1.36L,,14.75SAR,,
I Am Juice Pink Guava 330ml,,7.75SAR,,
Fresh carrot juice 330 ML,,6.95SAR,,
Pran Litchi Drink Pet 285ml ×6,,10.95SAR,,
Bel Normande Non-Alcoholic Sparkling Apple Pomegranate Juice 750ml,,29.95SAR,,
Grante Apple Juice 100 % 750ml,,22.95SAR,,
Rani Fruit Drink 100% Orange 250ml,,2.00SAR,,
Rani Apple Fruit Drink Pet 1.5l X6,,42.00SAR,,
Ceres Blend Mango Juice 200ml,,2.75SAR,,
Rani Cocktail Drink Pet 1.5l X6,,42.00SAR,,
Fitch &leedes Indian Tonic Can 200ml,,7.00SAR,SAR7.50,6% OFF
Rauch Spkl Juice Apple 900ml X12,,239.95SAR,,
Carrefour Bio Speciality Drink Lemon 70cl,,16.50SAR,,
Almarai - Tropicl Mixed Fruits Juice 300ml,,3.00SAR,,
Fresh orange juice 330 ML,,8.95SAR,,
ALMARAI FARMS PIN ORAN JUICE 1L,,16.50SAR,,
MeMento Aromatic Non-Alcoholic Blend 700ml,,174.00SAR,,
"Ecology + Co, London Dry Botanical (Non-Alcoholic) Premium Blend 700ml",,190.00SAR,,
JNPR Botanical Distilled (Non-Alcoholic) Premium Drink 700ml,,174.00SAR,,
Mixa 5G Sparkling Drink 250ml ×24,,47.95SAR,,
MeMento Green - Aromatic Non-Alcoholic Blend 700ml,,174.00SAR,,
Grante 100% Apple Juice 250ml,,9.75SAR,,
