Product Name,Product Details,Price,Actual Price,Discount Percentage
Carrefour Classic Ground Coffee 250g,,9.95SAR,,
Cofiquelatte Red Velvet 24g,,3.25SAR,,
Maxwell Intense Blend Coffee 190g,,39.95SAR,,
"Starbucks Caramel Macchiato Coffee Pods Box of 6+6, 127.8g",,51.50SAR,,
Alicafe Classic Premix Coffee No Sugar Added 12gx20,,29.95SAR,,
Cofique Iced Coffee Mocha 24gX 10,,35.95SAR,,
Cofique Latte French Vanilla 24g,,3.25SAR,,
"Thouq Arabic Coffee, Authentic Flavor, Easy Prepare 500g",,35.95SAR,SAR38.95,7% OFF
Starbucks Espresso Roast Coffee Capsules 57g,,31.95SAR,,
Alsaidah Arabic Coffee 500g,,25.25SAR,,
"Starbucks Cappuccino Coffee Pods, Box of 6+6, 120g",,51.50SAR,,
Maxwell House Smooth Blend Instant Coffee 95g,,23.95SAR,,
Alicafe Coffee Cappuccino Caramel 20g,,3.00SAR,,
Cofique Iced Coffee Coconut 24g,,3.85SAR,,
Nescafe Gold Vanilla Latte Coffee Mix 18.5g Pack of 10,,48.95SAR,,
Cofique Latte Mocha 24g,,3.25SAR,,
Carrefour Costa Rica Pure Arabica Ground Coffee 250g,,22.95SAR,,
Carrefour Gold Instant Coffee 100g,,19.95SAR,,
City Cafe Ice Vanilla 240ml,,4.35SAR,,
Nescafe Dolce Gusto Nesquik Chocolate Capsules 256g,,51.50SAR,,
Carrefour Classic Instant Coffee 300g,,30.95SAR,,
Davidoff Intense Roast Coffee Cap 55g,,22.45SAR,SAR25.95,13% OFF
Alicafe French Roast Cappuccino With Cocoa Powder 13gx10,,27.95SAR,,
City Cafe Ice Original 240ml,,4.35SAR,,
Carrefour Arabic Cardamom Coffee 250g,,15.95SAR,,
Baja Instant Arabic Coffee With Saffron 30g ×10 Pieces,,42.35SAR,SAR49.95,15% OFF
Alkhair Turkish coffee with Cardamom 200g,,13.35SAR,SAR14.95,10% OFF
Alkhair Premium Arabic Coffee With Cardamom 750g,,43.95SAR,,
Nescafe Mocha Ice 25g 10,,40.95SAR,,
Kam Arabic Coffee Ginger 30g,,6.50SAR,,
Nescafe Dolce Gusto Caramel Macchiato 145.6g,,51.50SAR,,
Folgers French Roast Coffee 272g,,36.75SAR,,
Nescafe Instant Coffee Arabiana Ginger 3g,,2.75SAR,,
Nescafe Cappuccino Foamy 19.3g,,2.50SAR,,
Carrefour Arabic Cardamom Coffee Original 250g,,15.95SAR,,
Cofique Latte Blueberry 24g,,3.25SAR,,
Baja Instant Arabic Coffee With Cloves 30g ×10,,42.35SAR,SAR49.95,15% OFF
Alicafe French Roast Skinny Latte 14.5gx10,,27.95SAR,,
Alkhair Premium Arabic Coffee With Cardamom 250g,,21.75SAR,,
Illy Classico Classic Roast Espresso Ground Coffee Capsules 52g,,34.95SAR,,
Starbucks Caffe Latte Premium Instant Coffee 121.2g,,51.50SAR,,
Maxwell House Smooth Blend Instant Coffee 47.5g&nbsp,,13.50SAR,,
Mehbaj Turkish Coffee With Cardamom 400g,,29.50SAR,,
Adetco Lagamti Coffee 2 kg,,69.95SAR,,
Nescafe Salted Caramel Ice 25g Pack of 10,,40.95SAR,,
Maxwell House Intense Blend Instant Coffee 95g,,23.95SAR,,
Alkhair Instant Saudi Coffee With Saffron 5g x12,,19.75SAR,SAR21.95,10% OFF
Alkhair Golden Blend Instant Saudi Coffee 5g x12,,19.75SAR,SAR21.95,10% OFF
