Product Name,Product Details,Price,Actual Price,Discount Percentage
Lamb Weston Potato Dippers Fries 1kg,,16.45SAR,,
Americana Xtreme Flamin' Chili Chicken Strips 700g,,28.95SAR,SAR47.95,39% OFF
Sunbulah Whole Wheat Spring Roll Pastry 160g ×20 Pieces,,6.50SAR,,
Lamb Weston Twister No Seasoned 750g,,16.95SAR,,
Americana Xtreme Cheese Burst Chicken Strips 700g,,28.95SAR,SAR47.95,39% OFF
Sunbulah onion paratha 400 g,,4.95SAR,SAR7.95,37% OFF
Royal Chicken Mosahab 750g,,21.95SAR,SAR24.95,12% OFF
Doux Hot Chicken Strips 750g,,28.50SAR,,
Al Karamah Spring Roll Pastry 250g,,6.75SAR,,
Americana 8 Beef Shish Kebab 320g,,14.95SAR,,
Americana 20 Chicken Burger 1kg,,19.95SAR,SAR27.95,28% OFF
Sadia Chicken Franks Hot & Spicy 340g,,3.95SAR,SAR6.50,39% OFF
Americana Spices Beef Burger 672g,,22.50SAR,,
Americana Heroz Frozen Chicken Donuts 400g,,9.95SAR,SAR18.95,47% OFF
Al Kabeer Chicken 12 Samosas 240g,,12.15SAR,,
Dari Thin French Fries 2kg,,23.45SAR,,
Al Kabeer Punjabi Vegetable Samosa 900g,,20.45SAR,,
Americana Craves Chicken Fillet Burger 400g,,19.50SAR,SAR29.95,34% OFF
Doux Chicken Franks Cheese 10 Pieces 400g,,7.60SAR,SAR8.25,7% OFF
Americana Zingz Hot and Crunchy Chicken Fillets 420g,,20.45SAR,SAR23.95,14% OFF
Americana Falafel Original Recipe 500g,,8.95SAR,,
Sadia Broasted Chicken Classic Fillets 750g,,47.95SAR,,
Alkbeer Plain Tortilla Wraps Bread 12 Pieces - 570g,,15.50SAR,,
Americana Alsayyad Zingz Hot And Crunchy Breaded Shrimp 750g,,66.45SAR,,
Sunbulah Puff Pastry Squares 800g,,21.25SAR,,
Seara Spicy Chicken Fillet 400g,,19.95SAR,,
Seara Chicken Fillet 750g,,23.95SAR,SAR37.45,36% OFF
Sadia Chicken Zing Fillets 1kg,,32.95SAR,SAR51.25,35% OFF
Americana Puff Pastry Square 400g,,8.75SAR,,
Americana Jumbo Chicken Burger 1kg,,20.95SAR,SAR32.95,36% OFF
Doucx original chicken frank 400 g,,7.60SAR,SAR8.25,7% OFF
Americana 10 Breaded Chicken Burger 1kg,,20.95SAR,SAR32.95,36% OFF
Seara Beef Meat Balls 450g,,12.75SAR,SAR15.50,17% OFF
Lamb Weston Seasoned Wedges Skin-On 750g,,16.95SAR,,
Lamb Weston Seasoned Criscuts 750g,,16.95SAR,,
Royal Hot Chicken Strips 750g,,19.50SAR,SAR31.95,38% OFF
Herfy chicken pop corn 400 g,,12.95SAR,SAR26.25,50% OFF
Americana Chunky Chicken Lemon & Pepper 750g,,23.95SAR,SAR33.95,29% OFF
Sunbulah Margarita Pizza 350g,,14.95SAR,SAR20.95,28% OFF
Al Kabeer Chicken Burgers 1.2kg,,32.95SAR,SAR37.95,13% OFF
Americana 20 Beef Burger Classic 1kg,,19.95SAR,SAR30.45,34% OFF
Solo Sambusa Bur Dough 360g× 24 Pieces,,14.25SAR,,
Solo Sambosa Dough Light 360g,,14.25SAR,,
Switz Puff Pastry Square 400g,,9.45SAR,SAR10.95,13% OFF
Americana Chicken Fillets 750g,,23.95SAR,SAR36.95,35% OFF
Al Kabeer Chicken Spring Rolls Frozen 8 Pieces,,13.25SAR,,
Dr.Oetker Margherita Pizza 295g,,25.45SAR,,
Sadia Potato Wedges 750g,,12.15SAR,,
Sunbulah Empanada Dough 360g,,17.95SAR,,
Al Kabeer 8 Vegetable Spring Rolls 280g,,12.50SAR,,
Americana super sheesh kabab 600 g × 10 pieces,,15.50SAR,SAR25.95,40% OFF
Americana Chicken Nuggets 270g,,9.55SAR,SAR12.10,21% OFF
Americana 12 Breaded Chicken Burger 900g,,19.95SAR,SAR29.95,33% OFF
Americana Shish Tawok United Kingdom 500g,,19.95SAR,,
Herfy Chicken Burgers Breaded 672 G,,29.95SAR,,
Seara Beef Frank 340g,,8.95SAR,,
Dr Oetker Ristorante Pizza Quattro Formaggi 340g,,24.95SAR,,
"Al Kabeer Cheese Samosas 12 Pieces, 240g",,15.35SAR,,
Sadia Waffle Fries 750g,,14.65SAR,,
Herfy chicken tender 400 g,,12.95SAR,SAR23.75,45% OFF
Sadia Chicken Burger 1kg,,18.95SAR,SAR29.75,36% OFF
Al Kabeer Arabic Kofta  300g ×12 Pieces,,12.95SAR,,
Dari four Cheese Pizza 400g,,19.45SAR,,
Sunbulah chicken pizza 470 g,,14.95SAR,SAR20.95,28% OFF
Seara Breaded Chicken Burger 224g,,9.45SAR,,
Al Karamah Puff Pastry Square 400g,,9.50SAR,,
Sadia Frozen Chicken Zing Strips 1kg,,32.95SAR,SAR51.25,35% OFF
Shami Mini Beef Kibbeh 450g,,12.95SAR,SAR20.45,36% OFF
Sadia breaded chicken fillet 480g,,20.50SAR,,
Sadia Crinkle Fries Cut 750g,,13.95SAR,,
Americana Chicken Tikka 400g,,19.95SAR,,
Americana Twisterzz Chikenn Popcrn 750g,,19.50SAR,SAR31.95,38% OFF
Sunbulah Breaded Chicken Burger 1344g ×24 Pieces,,26.95SAR,SAR43.50,38% OFF
Seara Mutton Shish Kabab 500g,,11.95SAR,SAR14.25,16% OFF
Dari chicken pizza 400g,,18.50SAR,,
Zn Chicken Alfredo 350g,,18.50SAR,,
