Product Name,Product Details,Price,Actual Price,Discount Percentage
"Samsung 362L Double Door Refrigerator, RT35K5157WW, White, 2 Years Warranty (Installation Not Included)",,"2,399.00SAR","SAR4,299.00",44% OFF
"Midea Free Standing Dishwasher With 12 Place Setting And 7 Programs, Model No, WQP125201CS, Installation Not Included",,"1,259.00SAR","SAR1,399.00",10% OFF
"GVC Pro Washing Machine Twin Tub 5KG, GVCWM-60G2, White (Installation Not Included)",,549.00SAR,SAR649.00,15% OFF
"Haam Electric 6Kg Top Load Washing Machine, Hwm6W-21N (Installation Not Included)",,"1,099.00SAR","SAR1,290.00",14% OFF
"Hisense 355 Liter Upright Refrigerator, RL48W2NL, With 2 Years Warranty (Installation Not Included)",,"2,199.00SAR","SAR3,999.00",45% OFF
"Toshiba Top Load Washing Machine, 15 Kg Capacity, AW-DK1775WUPBB(WK), White/Black (Installation Not Included)",,"2,449.00SAR","SAR2,589.00",5% OFF
"Xper Top Load Twin Tub Washing Machine, 12 Kg Capacity, White (Installation Not Included)",,899.00SAR,"SAR1,099.00",18% OFF
"Hisense Top Mounted D Class Side By Side Refrigerator, 249 Liter Capacity, White (Installation Not Included)",,"1,899.00SAR","SAR2,599.00",26% OFF
"Samsung 11Kg Top Loading Washing Machine, Digital Inverter Technology, Wobble Technology, WA11B5251WW/YL, White, 2 Years Warranty (Installation Not Included)",,"2,299.00SAR","SAR4,399.00",47% OFF
"Hisense 245 Liter Chest Freezer, CHF247DD, With 2 Years Warranty (Installation Not Included)",,"1,298.00SAR","SAR2,499.00",48% OFF
"Basic 298 Litres Double Door Refrigerator, BRD-380MLSS (Installation Not Included)",,"1,749.00SAR","SAR2,050.00",14% OFF
"Admiral 16.4 Cubic Feet Double Door Refrigerator With Multi Air Flow Technology, ADTM50MSQ, 2 Years Warranty (Installation Not Included)",,"1,999.00SAR","SAR4,999.00",60% OFF
"Basic Double Door Refrigerator, 12 Feet, Silver, BRD-480ML (Installation Not Included)",,"1,810.00SAR","SAR2,100.00",13% OFF
"Haam Important Top Load Washing Machine, 12 Kg Capacity, Silver (Installation Not Included)",,"1,499.00SAR","SAR1,780.00",15% OFF
Clikon washer twin tub 7kg CK638,,649.00SAR,,
"Basic Double Door Refrigerator, 11.7 Feet, White, BRD-442ML (Installation Not Included)",,"1,699.00SAR","SAR1,985.00",14% OFF
"Samsung 384L Top Mount Freezer With Twin Cooling, RT38K5157WW (Installation Not Included)",,"2,399.00SAR","SAR4,799.00",50% OFF
"Hisense B Class Front Loading Washing Machine, 7 kg Capacity, Silver (Installation Not Included)",,999.00SAR,"SAR2,199.00",54% OFF
"Samsung 12kg Front Load Washing Machine, AI Control, WiFi, DIT, Auto Dispense, Eco Bubble, WW12TP84DSX/YL, Inox 2 Years Warranty (Installation Not Included)",,"3,399.00SAR","SAR6,199.00",45% OFF
Nikai chest freezer NCF350N20 260L,,"1,199.00SAR","SAR1,799.00",33% OFF
"Midea Gas Oven, 115 Litres Capacity, 60x90cm Size, Steel (Installation Not Included)",,"1,949.00SAR","SAR2,309.00",15% OFF
Nikai NWM1100SPN20 Twin Tub Washing Machine White 10Kg,,801.00SAR,SAR999.00,19% OFF
"White Westinghouse Front Load Condenser Dryer With Pump, 8Kg Capacity, White (Installation Not Included)",,"1,903.00SAR",,
"Arrow Cooling Showcase Refrigerator, RO-100SCH (Installation Not Included)",,850.00SAR,SAR949.00,10% OFF
"Admiral 7Kg Top Load Washing Machine With Fuzzy Logic, ADTW8XUSCQ, 2 Years Warranty (Installation Not Included)",,999.00SAR,"SAR2,299.00",56% OFF
"Hisense Top Mounted D Class Side By Side Refrigerator, 203 Liter Capacity, White (Installation Not Included)",,"1,249.00SAR","SAR2,199.00",43% OFF
"Hisense 592 Liter Single Door Upright Freezer, FV76W2NL, With 2 Years Warranty (Installation Not Included)",,"2,699.00SAR","SAR4,999.00",46% OFF
"Fisher 2 Sinks Washer, FW-P7000N, White (Installation Not Included)",,699.00SAR,SAR750.00,6% OFF
"Toshiba fridge, 20.9 cft, gr-a720ate",,"3,399.00SAR","SAR4,999.00",32% OFF
"Samsung 9Kg Front Load Washing Machine, AI Control, WiFi, DIT, Eco Bubble, WW90T754DBH/YL, White, 2 Years Warranty (Installation Not Included)",,"2,599.00SAR","SAR4,799.00",45% OFF
"Arrow Double Door Refrigerator, 12 Cu.Ft, 344 Litre, NoFrost, Silver, RO2-530NF/520 (Installation Not Included)",,"1,929.00SAR","SAR2,227.00",13% OFF
"Arrow Twin Tub Washing Machine 9 Kg, White, RO-10TB (Installation Not Included)",,780.00SAR,SAR900.00,13% OFF
"Toshiba 620 Litres Double Door Refrigerator, GR-A820ATE(W), Min 2 Years Warranty (Installation Not Included)",,"3,460.00SAR","SAR3,660.00",5% OFF
"Samsung 593L French Door Refrigerator, Digital Inverter Technology, Stainless Steel (Installation Not Included)",,"6,999.00SAR","SAR15,499.00",54% OFF
"Hisense 583 Liter Four Door Refrigerator, RQ72W2NR, With 2 Years Warranty (Installation Not Included)",,"4,699.00SAR","SAR7,699.00",38% OFF
"Arrow Mini Refrigerator 1.6 Feet, Silver, RO1-69LS (Installation Not Included)",,660.00SAR,SAR710.00,7% OFF
"Admiral 8Kg Moisture Sensing Condenser Dryer With 15 Programs, ADFD810GCUWCQ, 2 Years Warranty (Installation Not Included)",,"1,499.00SAR","SAR2,999.00",50% OFF
"Midea Automatic Washing Machine, Front Load, 8 Kg Washing, 5 Kg Drying, 15 Programs, MF100D80/S-SA, Silver (Installation Not Included)",,"1,899.00SAR","SAR1,999.00",5% OFF
"TOSHIBA, Fridge, 232.1 Liter, GR-A33AS(SK)",,"2,649.00SAR",,
"Arrow 46 Litres Single Door Mini Refrigerator, RO1-69L (Installation Not Included)",,640.00SAR,,
"GVC Pro Showcase Refrigerator, 4Ft, GVRG-125 (Installation Not Included)",,710.00SAR,SAR899.00,21% OFF
"Konka 332 Liters Double Door Refrigerator With Automatic Defrost System, KRFS435WT, 2 Years Warranty (Installation Not Included)",,"2,399.00SAR","SAR3,799.00",36% OFF
Nikai NRF450FSS19 Refrigerator Black 322L,,"1,599.00SAR","SAR1,999.00",20% OFF
"Samsung 16kg Top Loading Washing Machine, Rear Panel, DIT, Wobble Technology, WA16B6251WW/YL, White (Installation Not Included)",,"2,899.00SAR","SAR5,799.00",50% OFF
"Arrow Double Door Refrigerator, 18.61 Cu.Ft, 527 Ltr, RO2-690NF, NoFrost, Silver (Installation Not Included)",,"2,999.00SAR",,
"Hisense 260 Liter Single Door Upright Freezer, FV35W2NL, With 2 Years Warranty (Installation Not Included)",,"2,299.00SAR","SAR5,199.00",55% OFF
"Hisense 422 Liter Side By Side Door Refrigerator, RT54W2NK, 2 Years Warranty (Installation Not Included)",,"1,899.00SAR","SAR3,999.00",52% OFF
Nikai NWM1010T20D Top Load Washing Machine With Dryer Grey 9kg,,"1,099.00SAR","SAR1,699.00",35% OFF
"Toshiba 8.0kg Twin Tub Washer, Model No VH-J90WBB (Installation Not Included)",,980.00SAR,"SAR1,055.00",7% OFF
La Germania Gas Cooker 90x60 - 5 Burners - SS95C31X,,"3,199.00SAR","SAR3,499.00",8% OFF
"White-Westinghouse Twin Tub Washing Machine, 12Kg, Multi Programs, White, WW1300MT10 (Installation Not Included)",,990.00SAR,"SAR1,099.00",9% OFF
"Toshiba Refrigerator, Freezer On Top, 16.66 Cu.Ft., White, GR-H625ABEZ(W) (Installation Not Included)",,"2,799.00SAR","SAR3,799.00",26% OFF
"White-Westinghouse Refrigerator 480L, 16.9Cu.Ft, Double Door, WWR9KS500, White (Installation Not Included)",,"2,617.00SAR","SAR2,795.00",6% OFF
"Admiral 18.2 Cubic Feet Double Door Refrigerator With Multi Air Flow Technology, ADTM55MSQ, 2 Years Warranty (Installation Not Included)",,"2,199.00SAR","SAR4,999.00",56% OFF
"Comfort Line 410 Liters Double Door Refrigerator, MSA-M-440S, 2 Years Warranty (Installation Not Included)",,"2,410.00SAR",,
"Samsung 8Kg Washer With 6Kg Dryer, Front Load, AI Control, WiFi, DIT, Eco Bubble, WD80T654DBE/YL, White (Installation Not Included)",,"1,999.00SAR","SAR5,499.00",63% OFF
"Fisher Two Basin Washer 14KG, FW-P14000N, White (Installation Not Included)",,"1,349.00SAR","SAR1,450.00",6% OFF
"Midea Front Load Washing Machine, 12Kg Washer, 8Kg Dryer, 14 Programs, MFK1280WD, White (Installation Not Included)",,"2,512.00SAR","SAR2,858.00",12% OFF
"Luna Chest Freezer, 6.90 Cubic Feet , LCF-304, White (Installation Not Included)",,"1,073.00SAR","SAR1,173.00",8% OFF
"Arrow Single Door Upright Freezer, 9.35 Cu.Ft, 265 Ltr, NoFrost, Silver, RO1-340VNF (Installation Not Included)",,"2,655.00SAR","SAR2,855.00",7% OFF
"Hisense E Class Top Loading Washing Machine, 11 Kg Capacity, Dark Grey (Installation Not Included)",,"1,199.00SAR","SAR2,699.00",55% OFF
"Samsung 21Kg Top Loading Washing Machine, Rear Control Panel, DIT, Bubble Storm, WA21A8376GV/YL, Black, 2 Years Warranty (Installation Not Included)",,"4,199.00SAR","SAR8,099.00",48% OFF
"GVC Pro Fully Automatic Washing Machine 14Kg, GVCWM-1500S, Silver (Installation Not Included)",,"1,549.00SAR","SAR1,799.00",13% OFF
"TCL washer front load, 7kg, 12p, TWF70-M12303DA",,"1,799.00SAR",,
"Samsung 18Kg Washer With 11kg Dryer, AI Control, WiFi, DD Motor, Eco Bubble, WD18T6300GP/YL, Inox, 2 Years Warranty (Installation Not Included)",,"11,799.00SAR",,
"Samsung 13Kg Top Loading Washing Machine, Digital Inverter Technology, Wobble Technology, WA13B5251BY/YL, Gray, 2 Years Warranty (Installation Not Included)",,"2,699.00SAR","SAR5,999.00",55% OFF
"GVC Pro Two Doors Refrigerator 16.9 Ft, GVRF-850S, Silver (Installation Not Included)",,"2,529.00SAR",,
Nikai NRF420FSS19 Refrigerator Black 246L,,"1,299.00SAR","SAR1,799.00",27% OFF
"Samsung 806L Side By Side Refrigerator, Food Showcase, Digital Inverter Technology (Installation Not Included)",,"6,999.00SAR","SAR15,499.00",54% OFF
"Media Top Load Washing Machine, 18Kg, White, MAC180N1 (Installation Not Included)",,"2,499.00SAR",,
"Samsung 7Kg Front Load Washing Machine, 2020 Series, LED Panel, DIT, WW70T4020EE/YL, White, 2 Years Warranty (Installation Not Included)",,"1,999.00SAR","SAR3,899.00",48% OFF
"Hisense 12 Kg Front Loading Washing Machine With Inverter Technology, WF3QC43BS, 2 Years Warranty (Installation Not Included)",,"1,499.00SAR","SAR3,399.00",55% OFF
"Fisher Twin Tub Washing Machine, 8 Kg, FW-P8000N, White (Installation Not Included)",,859.00SAR,SAR990.00,13% OFF
"Arrow Double Door Refrigerator, 479 Liters, 16.9 Cu Ft, Silver (Installation Not Included)",,"2,899.00SAR","SAR3,300.00",12% OFF
"Basic Double Door Refrigerator, 18.2 Feet, White, 660MLV SS (Installation Not Included)",,"2,499.00SAR","SAR3,950.00",36% OFF
"Basic 408 Litres Double Door Refrigerator, BRD-550MLV (Installation Not Included)",,"1,999.00SAR","SAR2,450.00",18% OFF
"Admiral 14.4 Cubic Feet Double Door Refrigerator With Multi Air Flow Technology, ADTM45MSQ, 2 Years Warranty (Installation Not Included)",,"1,899.00SAR","SAR4,199.00",54% OFF
"Hisense 476 Liter Single Door Upright Freezer, FV63WNL, With 2 Years Warranty (Installation Not Included)",,"2,499.00SAR","SAR4,499.00",44% OFF
"Xper Twin Tub Washing Machine, 7 Kg Capacity, White (Installation Not Included)",,689.00SAR,,
"Samsung 13Kg Top Loading Washing Machine, Digital Inverter Technology, Wobble Technology, ‎WA13B5251WW/YL, White (Installation Not Included)",,"2,999.00SAR","SAR5,199.00",42% OFF
