Product Name,Product Details,Price,Actual Price,Discount Percentage
"Sharp Window Air conditioner 18000 BTU, Cool, AF-A18WCS, White (Installation Not Included)",,"1,549.00SAR","SAR1,749.00",11% OFF
Russell hobbs sandwich maker,,119.00SAR,,
DLC Coffee Grinder 200W,,58.00SAR,SAR99.00,41% OFF
"GVC Pro Split Cool Conditioner, 18 Et, GVSP19C (Installation Not Included)",,"2,067.00SAR","SAR2,199.00",6% OFF
Toshiba VC-DR200ABF Electric Drum Vacuum Cleaner 21L,,499.00SAR,,
Krypton Vacuum Cleaner 2300 W Knvc6107 Black,,219.00SAR,SAR262.80,16% OFF
Super General KSGK218SSD Electric Kettle,,59.00SAR,SAR99.00,40% OFF
Russel Hobbs Hand Blender 500W - 24702,,155.00SAR,SAR329.00,52% OFF
"Gree 1.50 Ton Split Cold Pular Air Conditioner, 18100 BTU, WiFi Technology, GWC18AGD-D3NTA1A (Installation Not Included)",,"2,450.00SAR",,
"ATC Sandwich Maker, H-Sm0202S, Silver",,55.00SAR,SAR75.00,26% OFF
"ATC Toaster For Two Slices, 800 Watts",,55.00SAR,SAR65.00,15% OFF
Geepas Stainless Steel Rice Cooker Grc4330,,156.00SAR,SAR187.20,16% OFF
Tefal toaster 850w white,,239.00SAR,,
Hactc 12 Inch Box Fan 5 Blades 45 W 3182 - Black,,99.00SAR,SAR149.00,33% OFF
Daewoo popcorn maker dawdpp-745,,95.00SAR,,
"Dlc Garment Steamer 1500W, Purple White Dlc-534",,111.00SAR,SAR199.00,44% OFF
Panasonic Food Maker Chef Machine MK-CM300WTZ,,399.00SAR,SAR799.00,50% OFF
Moulinex AR110O27 The Original Coffee Grinder 180W 50g Orange,,128.00SAR,SAR155.00,17% OFF
Dolce Gusto Genio 2 Titanium Color Coffee Capsules Machine,,799.00SAR,,
"Russel Hobbs Blender 1.5L, 400W, BWM102",,89.00SAR,SAR159.00,44% OFF
Dolce Gusto Genio 2 Red Color Coffee Capsules Machine,,749.00SAR,,
Philips 2 Slices Daily Collection Toaster 830W - White,,139.00SAR,SAR148.02,6% OFF
"Tefal Dry Iron, 1200W, FS2920M0, Black",,99.00SAR,SAR120.00,17% OFF
"White Westinghouse 700W Microwave Oven, With Digital Control, 20 Liter Capacity, Silver (Installation Not Included)",,333.00SAR,SAR399.00,16% OFF
"Kenwood blender 2 mill, 2l, owblp10",,159.00SAR,SAR220.00,27% OFF
