Product Name,Product Details,Price,Actual Price,Discount Percentage
JBL 2.1 WL SOUNDBAR&SUBWOOFER SPKR,,"1,199.00SAR","SAR1,299.00",7% OFF
"JBL Go 3: Portable Speaker With Bluetooth, Builtin Battery, Waterproof And Dustproof, Blue",,249.00SAR,,
"Geepas Bluetooth Rechargeable Speaker, Black",,93.28SAR,,
Powerology - 11 In 1 Usb-C Hub - Gray,,399.00SAR,,
"Geepas 4.1Ch Integrated Speaker System FM/BT/- 40000 Watts, Gms102, Black & Grey",,249.00SAR,SAR399.00,37% OFF
"Olsenmark 2.1 High Bass Sound Bar/Home Theatre With Bluetooth, USB, AUX Connection, 1400W PMPO, OMMS1286",,479.11SAR,,
"JBL Boombox 2 - Wireless Bluetooth Speaker, Waterproof With indoor And Outdoor Modes, Powerbank And Bluetooth 5.1, In Camouflage",,"1,799.00SAR",,
"Olsenmark Portable Wireless Speaker - Powerful Bass Bluetooth Speaker 5.0 With Light, Bt/Call/Usb/Tf/Fm/Aux, Top Mounted Controls, 2 Years Warranty",,125.00SAR,SAR150.00,16% OFF
"JBL Xtreme 2 Portable Wireless Speaker, Blue",,959.00SAR,,
JBL Xtreme 3 Portable Bluetooth Speaker Blue,,"1,400.00SAR",,
JBL Xtreme 3 Portable Bluetooth Speaker Camouflage,,"1,400.00SAR",,
"Geepas Rechargeable Portable Speaker - Portable Handle With 1800 mAh Huge Battery, TWS Connection & Compatible With Bt/ USB/ AUX/ FM/ Micro Sd, Ideal For Home, Hotels & Outdoor Use",,166.00SAR,SAR199.20,16% OFF
"Borofone Wireless Bluetooth Speaker, Green",,39.00SAR,,
"SoundPeats Halo V5.0 Portable Wireless Speaker With 360 HD Surround Stereo Sound, 40mm Driver For Deep Bass, 3-Color RGB Light, 8 Hours Playtime",,99.00SAR,SAR119.00,16% OFF
"DLC Usb Rechargable Radio DLC-32202, Black/Red",,96.00SAR,SAR199.00,51% OFF
