Product Name,Product Details,Price,Actual Price,Discount Percentage
"Hisense 4K UHD TV, 58 Inches, 58A6GS, VIDAA U4.0 Game Mode, DTS Studio Sound, AI Upscaling, Bezelless Design, 2022 Model",,"1,499.00SAR","SAR2,999.00",50% OFF
Nikai NIK75MEU4STN 4K Ultra HD Smart TV 75inch,,"2,799.00SAR","SAR4,999.00",44% OFF
HP High Speed HDMI Cable Black 1.5m,,29.00SAR,,
HP High Speed HDMI Cable Black 3m,,49.00SAR,,
"Konka 85 Inch 4K UHD LED Smart TV, Quad Core, HDR10, HDMI, USB, UDE85NR316ANTS",,"4,299.00SAR","SAR10,999.00",60% OFF
"Skyworth 43 Inch FHD Smart TV Coolita OS, 43STD4000",,799.00SAR,"SAR1,599.00",50% OFF
Sony Smart Tv Kd-55x75k 4k HDR,,"2,799.00SAR",,
"Samsung 43 Inch TV, The Frame QLED 4K, Customizable Bezel, Quantum Dot, Dolby Atmos Audio Smart Hub With 4 Speakers, QA43LS03BAUXSA, 2022, Black",,"3,499.00SAR","SAR6,999.00",50% OFF
"Admiral 85 Inch 4K UHD LED Smart TV, HDR 10, USB 2, HDMI 3, Android 11, ADL85UMSACP",,"3,999.00SAR","SAR10,999.00",63% OFF
SKYWORTH LED 43 SMART 43STD4000,,699.00SAR,"SAR1,299.00",46% OFF
"Konka 50 Inch 4K UHD LED Frameless Smart TV, Quad Core, HDR10, Android 11, UDG50QR680ANT",,"1,199.00SAR","SAR2,599.00",53% OFF
"Hisense 4K UHD TV, 55 Inches, 55A6GS, VIDAA U4.0 Game Mode, DTS Studio Sound, AI Upscaling, Bezelless Design, 2022 Model",,"1,378.00SAR","SAR2,699.00",48% OFF
"Konka 43 Inch FHD LED Frameless Smart TV, Android 11, KDG43QR680ANT",,999.00SAR,"SAR1,999.00",50% OFF
Panasonic 50 Inch TV 4K LED - TH-50HX650MF,,"2,499.00SAR",,
"Skyworth 50SUC9300, 50” Google Android UHD 4K Smart TV",,"1,199.00SAR","SAR2,499.00",52% OFF
"Samsung 85 Inch TV, Neo QLED 8K, Quantum HDR 32X, Dolby Atmos, Audio Smart Hub With 8 Speakers And In-Built Woofer, Mini LED, QA85QN800BUXSA, 2022, Stainless Steel",,"47,999.00SAR",,
"Arrow 55 Inch 4K Smart LED TV, RO-55LCS",,"1,440.00SAR","SAR2,999.00",51% OFF
"GVC Pro Standard TV FHD 32 Inch, LD-32TV",,399.00SAR,,
"Hisense 4K UHD TV, 70 Inches, 70A6GS, VIDAA U4.0 Game Mode, DTS Studio Sound, AI Upscaling, Bezelless Design, 2022 Model",,"2,499.00SAR","SAR3,999.00",37% OFF
"Hisense LED TV, 70Inch, 4K, 70A6GS",,"2,399.00SAR","SAR3,999.00",40% OFF
Nikai NTV43SVDLED1 Full HD Smart LED TV 43inch,,799.00SAR,"SAR1,199.00",33% OFF
"ATC 50 Inch TV Smart 4K UHD LED, E-LD-50UHD, Black",,999.00SAR,"SAR1,399.00",28% OFF
"Konka 50 Inch 4K UHD LED Smart TV, Quad Core, HDR10, UDG50MP672ANT",,"1,249.00SAR","SAR2,299.00",45% OFF
"Samsung 43 Inch TV T5300A LED Smart TV, UA43T5300AUXUM, 2020, Black",,"1,449.00SAR","SAR2,199.00",34% OFF
SHARP LED 42 2T-C42BG1X HD ANDROID,,"1,099.00SAR",,
TCL 75T615 4K Ultra HD Smart Certified Android LED TV 75inch,,"4,140.00SAR",,
"Admiral 55 Inch 4K UHD LED Smart TV, HDR 10, USB 2, HDMI 3, Android 11, ADL55UMSACP",,"1,199.00SAR","SAR3,499.00",65% OFF
"Arrow 4K Smart QLED TV, RO-55LCQ",,"2,070.00SAR","SAR3,499.00",40% OFF
