Product Name,Product Details,Price,Actual Price,Discount Percentage
ViewSonic MU720 Wired Gaming Mouse,,100.00SAR,,
Logitech Pro X Superlight Wireless Gaming Mouse,,649.00SAR,,
"Redragon K552-BB Mechanical Gaming Keyboard, Mouse, Mouse Pad, Headset",,405.53SAR,SAR490.00,17% OFF
JBL Quantum50 In Ear Gaming Earphone For PS4/PS5/Xone/Xseries/Nswitch/PC -Wired,,169.00SAR,,
"Datazone Wired Gaming Keyboard With Mouse, Multicolour",,99.00SAR,,
Logitech G413 Se Black Tactile Switch Gaming Keyboard,,389.00SAR,,
Logitech G435 Lightspeed Wireless Gaming Headset - White,,394.00SAR,,
"Redragon S101 Wired RGB Backlit Gaming Keyboard And Mouse, Gaming Mouse Pad, Gaming Headset Combo All in 1",,285.47SAR,SAR310.00,7% OFF
Redragon Perdition 24000DPI MMO RGB Wired Gaming Mouse,,169.41SAR,SAR210.00,19% OFF
Twisted Minds Coolnight Wired Gaming Mouse RGB - Black,,193.00SAR,SAR210.00,8% OFF
"SKY-TOUCH Mouse Pad Large Leather Computer Desk Pad Office Desk Mat Extended Gaming Mouse Pad, Non-Slip Waterproof Dual-Side Use Desk Mat Protector 80cm x 40cm (Green/Silver)",,48.00SAR,SAR99.00,51% OFF
"HP Dhs-2111S Wired Multimedia Speakers, 6972431710701, Black",,79.00SAR,SAR83.77,5% OFF
HP Stereo Headphone,,99.00SAR,,
Datazone Gaming Mouse And Keybaord,,69.00SAR,SAR75.00,8% OFF
JBL Quantum 100 Gaming Headset - Blue,,129.00SAR,SAR145.00,11% OFF
Datazone Gaming Headphone With Microphone,,58.00SAR,,
PS4 Batman: Arkham Knight PS4 Hits Gcam - Playstation 4 (PS4) By Warner Bros,,99.00SAR,,
Logitech Astro A20 Gen 2 Gaming Headset For PS5,,519.00SAR,,
Cable Guys Spyro Controller Holder,,139.00SAR,,
Datazone Gaming Headphone With Microphone,,84.00SAR,,
"Datazone Wired Gaming Mouse, Black/Red/Blue",,43.00SAR,,
"Logitech G335 Wired Gaming Headset With Flip To Mute Microphone, 3.5mm Audio Jack, Memory Foam Earpads, Lightweight, Compatible With PC, Playstation, Xbox",,332.00SAR,,
"Turtle Beach Recon 70 Artic Camo Ef, Fg, Rotw Gaming Headset",,199.00SAR,,
Sades Mouse AXE,,205.43SAR,SAR220.00,6% OFF
"Logitech G903 Lightspeed Wireless Gaming Mouse, Black",,628.00SAR,,
Logitech G502 Hero Wired Gaming Mouse,,253.00SAR,SAR319.00,20% OFF
Datazone Gaming Headphone With Microphone,,67.00SAR,,
Patriot Viper V530 Optical Gaming Mouse - Wired,,50.00SAR,SAR100.00,50% OFF
Datazone Gaming Headphone With Noise Cancelling Microphone,,67.00SAR,,
Florpad - Hyper Beast,,266.79SAR,SAR310.00,13% OFF
JBL Quantum 300 Hybrid Wired Over-Ear Gaming Headset With Flip-Up Mic,,259.00SAR,,
Logitech G435 Lightspeed Wireless Gaming Headset - Black,,366.00SAR,,
Datazone Gaming Headphone With Microphone,,67.00SAR,,
Redragon H220 Themis Wired Gaming Headset Stereo Surround-Sound,,120.05SAR,SAR140.00,14% OFF
Redragon Hylas Wired Headset with RGB Backlight,,112.05SAR,SAR180.00,37% OFF
Redragon K552 Mechanical Gaming Keyboard RGB-Arabic,,308.15SAR,SAR410.00,24% OFF
Redragon Ceres G812 Bluetooth Gamepad For IOS And Android,,152.10SAR,SAR180.00,15% OFF
Logitech G Pro X Superlight Magenta Wireless Gaming Mouse,,659.00SAR,,
"Redragon Fizz Pro BT, Wired Mechanical Gaming Keyboard -Black",,309.48SAR,SAR350.00,11% OFF
Redragon K582-PRO Surara Gaming Keyboard,,325.49SAR,SAR450.00,27% OFF
Redragon K530 Pro Draconic 60% Compact RGB Wireless Keyboard,,366.84SAR,SAR400.00,8% OFF
Redragon K596 Vishnu 2.4G Wireless/Wired RGB Mechanical Gaming Keyboard,,418.87SAR,SAR450.00,6% OFF
Redragon K589 Shrapnel Mechanical Keyboard-Red Switch,,320.15SAR,SAR400.00,19% OFF
Redragon K552-RGB-BA Mechanical Gaming Keyboard And Mouse Combo,,352.17SAR,SAR400.00,11% OFF
Turtle Beach Beach Stealth 600 Gen 2 Wireless Gaming Headset,,569.00SAR,,
"Datazone Audio System Computer Highest Quality Speaker With Contemporary Design And Excellent Sound, Black",,89.00SAR,SAR99.00,10% OFF
Lego Jurassic World - (Intl Version) - Nintendo Switch By Warner Bros,,169.00SAR,,
Datazone mouse gaming usb 2400 dpi,,43.00SAR,,
Logitech G435 Light Speed Wireless Gaming Headset - Blue,,398.00SAR,,
Logitech Gaming Earphone,,269.00SAR,,
"Redragon H112 Gaming Headset With Microphone For PC, Wired Over Ear PC Gaming Headphones, Works With PC, Laptop, Tablet, PS4, Xbox One",,178.75SAR,SAR200.00,10% OFF
"Patriot Memory Viper Gaming Keyboard With Full Backlight, PV770MRUMXGM",,420.00SAR,SAR470.00,10% OFF
Datazone Professional Gaming Headset,,61.00SAR,,
Florpad - Fury,,253.45SAR,SAR300.00,15% OFF
Logitech G733 Lightspeed Wireless RGB Gaming Headset,,649.00SAR,SAR789.43,17% OFF
Batman Return To Arkham Gcam - Playstation 4 (PS4) By Warner Bros,,99.00SAR,,
"Redragon H818 Pro Pelops Wireless Gaming Headset, 7.1 Surround Sound",,352.17SAR,SAR400.00,11% OFF
Patriot Viper Gaming V380 High Definition 7.1 Virtual Surround Gaming Headset - RGB,,220.10SAR,SAR250.00,11% OFF
Patriot Viper V730 LED Wired Mechanical Gaming Keyboard,,220.10SAR,SAR250.00,11% OFF
Datazone Professional Gaming Headset,,84.00SAR,,
Turtle Beach Stealth 600 Gen 2 Wireless Gaming Headset,,529.00SAR,SAR569.00,7% OFF
"JBL - Quantum 100, Gaming Headset, White",,129.00SAR,SAR145.00,11% OFF
"Redragon H710 Helios Wired Gaming Headset, 7.1 Surround Sound, Memory Foam Ear Pads, 50mm Drivers, Detachable Microphone, Multi Platform Headphone, Works With PC/PS4/Switch",,352.17SAR,SAR400.00,11% OFF
"Logitech G Pro X Superlight Wireless Gaming Mouse, Hero 25K Sensor, Ultra-Light With 63G, 5 Programmable Buttons, 70 Hours Battery Life, Zero Additive Ptfe Feet, PC/Mac",,635.00SAR,SAR674.00,5% OFF
Injustice 2 - English/Arabic - (KSA Version) - Playstation 4 (PS4) By Warner Bros,,119.00SAR,,
Redragon M601-WL-BA Wireless Gaming Mouse And Mouse Pad Combo,,112.10SAR,SAR180.00,37% OFF
Patriot Viper V360 7.1 Virtual Surround Sound Gaming Headset,,152.07SAR,SAR200.00,23% OFF
Patriot Viper Gaming LED Pro Gaming Mouse Pad High Performance Polymer Surface,,70.00SAR,SAR100.00,30% OFF
Patriot Viper V330 Stereo Gaming Headset - Black,,126.72SAR,SAR227.00,44% OFF
Redragon DITI Elite Wired & Wireless RGB Mechanical Keyboard,,250.78SAR,SAR300.00,16% OFF
Finalmouse Starlight Pro TenZ Gaming Mouse - Medium,,"1,325.99SAR","SAR1,500.00",11% OFF
Redragon Diti K585 RGB Gaming Keyboard,,192.10SAR,SAR230.00,16% OFF
Datazone Gaming Headphone With Microphone,,67.00SAR,,
Powera Bulbasaur Overgrow Pokemon Controller - Nintendo Switch,,189.00SAR,,
"Redragon H350 Pandora RGB Wired Gaming Headset, Dynamic RGB Backlight, Stereo Surround-Sound, 50mm Drivers, Detachable Microphone, Over-Ear Headphones Works For PC/PS4/XBOX One/NS",,218.77SAR,SAR250.00,12% OFF
Redragon K530 Pro Draconic 60% Compact RGB Wireless Keyboard,,366.84SAR,SAR410.00,10% OFF
Datazone Gaming Headphone With Microphone,,67.00SAR,,
Redragon Kumara K552RGB-1 Mechanical Gaming Keyboard - Arabic,,285.47SAR,SAR310.00,7% OFF
"Redragon H350 Pandora RGB Wired Gaming Headset, Dynamic RGB Backlight, Stereo Surround-Sound, 50mm Drivers, Detachable Microphone, Over-Ear Headphones Works For PC/PS4/XBOX One/NS",,218.77SAR,SAR250.00,12% OFF
Redragon M801 Sniper RGB Wired Gaming Mouse,,205.43SAR,SAR250.00,17% OFF
Redragon Dragonborn Wired Mechanical Keyboard RGB - White,,232.11SAR,SAR300.00,22% OFF
Redragon Castor-K631RGB Pro Keyboard,,366.84SAR,SAR430.00,14% OFF
Finalmouse Starlight Pro TenZ Gaming Mouse - Small,,"1,325.99SAR","SAR1,500.00",11% OFF
Buddah Tek Rover 1 + R1 Messenger Bag Bundle,,553.60SAR,SAR670.00,17% OFF
Redragon K628 Pollux 75% Wired RGB Gaming Keyboard,,250.79SAR,SAR310.00,19% OFF
"Patriot Viper V570 Full Rgb Pro Laser Gaming Mouse, 12000 DPI Precision Sensor, 13 Programmable Macro Keys",,100.00SAR,SAR150.00,33% OFF
Datazone G1500 Professional Gaming Headset,,76.00SAR,,
Datazone G1500 Professional Gaming Headset,,76.00SAR,,
Florpad - Game Zone,,253.45SAR,SAR300.00,15% OFF
Turtle Beach Recon 500 Headset,,429.00SAR,,
"Redragon Kunlun M P005A Gaming Mouse Pad, Black",,93.37SAR,SAR120.00,22% OFF
Sades Headphone Fpower,,241.36SAR,SAR270.00,10% OFF
Sades Headphone CPower,,205.43SAR,SAR220.00,6% OFF
Sades Mouse Revolver,,192.10SAR,SAR210.00,8% OFF
Sades Headphone Snowwolf,,205.47SAR,SAR250.00,17% OFF
"Xtrike Me Mouse And Pad Gaming Combo Set, Black",,499.00SAR,,
Datazone Gaming Headphone With Microphone,,65.00SAR,,
Logitech G303 Shroud Edition Gaming Mouse,,556.00SAR,,
Redragon LAMIA 2 USB RGB Gaming Headset With Stand - White,,218.77SAR,SAR250.00,12% OFF
Datazone Gaming Headphone With Microphone,,72.00SAR,,
Datazone Gaming Headphone With Microphone,,78.00SAR,,
"Redragon Draconic Black, Wired & Bluetooth Mechanical Keyboard",,373.51SAR,SAR410.00,8% OFF
JBL Quantum 200 Wired Over-Ear Gaming Headset With Flip-Up Mic Black,,199.00SAR,,
Redragon M908 Impact RGB With Side Buttons Optical Wired Gaming Mouse,,173.41SAR,SAR190.00,8% OFF
Redragon K628RGB-Pro Pollux Pro Wireless RGB Gaming Keyboard,,366.84SAR,SAR430.00,14% OFF
Redragon Shrapnel K589 RGB Wired Gaming Keyboard - Black,,320.15SAR,SAR410.00,21% OFF
Redragon 3 In 1 Combo: K630W-RGB + M607W+ H350W-RGB-1,,413.53SAR,SAR500.00,17% OFF
Redragon Dragonborn Wired Mechanical Keyboard RGB - Black,,238.78SAR,SAR350.00,31% OFF
"Redragon ZEUS 2, Wired Headset, With Adapter",,325.49SAR,,
Patriot Viper V765 Wired Mechanical RGB Illuminated Gaming Keyboard,,320.15SAR,SAR370.00,13% OFF
Twisted Minds MD07 RGB Wired Gaming Headset - Black,,217.00SAR,SAR270.00,19% OFF
Datazone G1500 Professional Gaming Headset,,76.00SAR,,
Redragon Kumara Wired Mechanical Keyboard - Black,,218.78SAR,SAR305.00,28% OFF
Redragon Kunlun P006A Gaming Mouse Mat,,100.04SAR,SAR130.00,23% OFF
Redragon Kumara Wired Mechanical Keyboard - white,,218.77SAR,SAR270.00,18% OFF
"Redragon Pluto Mouse Pad, RGB",,98.77SAR,SAR110.00,10% OFF
Redragon Flick XL Gaming Mousepad,,93.37SAR,SAR120.00,22% OFF
Redragon Epeius P009 Gaming Mouse Mat,,165.45SAR,SAR190.00,12% OFF
Sades Headphone Spirits Resta,,152.10SAR,SAR180.00,15% OFF
"Sades Headphone Spirits, Red",,152.10SAR,SAR180.00,15% OFF
Sades Headphone Spirits,,152.10SAR,SAR180.00,15% OFF
JBL USB Wired PC Over-Ear Professional Gaming Headset,,"1,190.00SAR",,
Redragon M612 Predator RGB Gaming Mouse,,152.10SAR,SAR180.00,15% OFF
DATZONE MOUSE PAD GAMNG RED,,45.00SAR,,
"Logitech G203 Lightsync Gaming Mouse, Wired",,189.00SAR,,
"Redragon Over-Ear ZEUS-X USB RGB Gaming Headset, Pink",,312.15SAR,SAR380.00,17% OFF
Redragon H386 Diomedes Wired Gaming Headset,,204.10SAR,SAR250.00,18% OFF
Redragon Kumara K552RGB-1 Mechanical Gaming Keyboard,,285.50SAR,,
Redragon ZEUS-X Wired RGB Gaming Headset,,218.77SAR,,
Redragon ZEUS-X Wired RGB Gaming Headset,,312.15SAR,SAR350.00,10% OFF
"Redragon ZEUS 2 White, Wired Headset, With Adapter",,325.49SAR,,
Datazone Gaming Headphone With Microphone,,74.00SAR,,
Redragon H301 Siren 2 7.1 Channel Surround Stereo Gaming Headset,,245.45SAR,SAR300.00,18% OFF
Redragon H520 Icon Wired Headset,,352.17SAR,SAR400.00,11% OFF
Redragon K552 RGB Mechanical Gaming Keyboard - White,,285.47SAR,SAR310.00,7% OFF
Redragon Storm Elite M988-RGB Gaming Mouse,,218.77SAR,SAR280.00,21% OFF
Redragon Lonewolf Wired Gaming Mouse,,192.10SAR,SAR210.00,8% OFF
Redragon M607 Griffin 7200 DPI RGB Gaming Mouse,,285.47SAR,SAR310.00,7% OFF
Redragon Storm Pro Wireless/Wired Gaming Mouse,,324.16SAR,SAR400.00,18% OFF
Sup 400-In-1 Mini Handheld Gaming Console,,38.00SAR,,
Generic Wired Gaming Headset Headphones With Microphone For Sony PS4 For Playstation 4,,35.00SAR,SAR45.00,22% OFF
